sample,ShearStrength,Compressivestrengthofconcrete,ShearStressrange,Size,BeamTest,DirectShearTest,PushOutTest,AdhesiveAnchor,BlindBoltShearConnector,ChannelConnectors,ClusterStud,CorrodedStud,DoubleNutBolt,HASEAdhesiveAnchor,HighTensionFrictionGripBolt,LConnectors,Perfobondrib,Perfobondribgroup,Perforatedshearconnector,PostInstalledWeldedStud,PuzzleStrip,Stud,TheCoiledSpringPin,WedgeBoltConcreteScrew,Ytypeperfobondrib,cycle
534,0.789205809,1.099618579,0.19914626,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.653405491
535,0.789205809,1.099618579,0.19914626,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.486750308
536,0.789205809,1.099618579,0.19914626,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.322426052
537,0.789205809,1.099618579,0.19914626,-0.628061857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.660037824
538,0.789205809,1.099618579,0.19914626,-0.628061857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.99943505
539,0.789205809,1.099618579,0.19914626,-0.628061857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.653212514
540,0.789205809,1.099618579,0.19914626,0.653256063,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.653212514
541,0.789205809,1.099618579,0.19914626,0.653256063,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.824704291
542,0.789205809,1.099618579,0.19914626,0.653256063,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.668896332
543,0.789205809,-0.791654467,0.19914626,-0.628061857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.544068044
544,0.789205809,-0.791654467,0.19914626,-0.628061857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.933132824
545,0.789205809,-0.791654467,0.19914626,-0.628061857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.135132651
546,0.64906903,-0.829479928,0.19914626,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.812913357
547,0.64906903,-0.829479928,0.19914626,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.812913357
548,0.64906903,-0.829479928,0.19914626,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.113943352
549,-0.023652538,-1.037519963,0.19914626,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.153558784
550,-0.023652538,0.135069325,0.19914626,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.721794133
551,-0.023652538,0.135069325,0.19914626,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.344543563
552,-0.023652538,0.135069325,0.19914626,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.799352958
